id,question,letter,answer,img
81,W dokumentacji technicznej efektywność głośnika podłączonego do komputera zapisuje się w jednostce,C,dB,0
82,Na urządzeniu zasilanym prądem stałym znajduje się przedstawione oznaczenie. Wynika z niego że urządzenie pobiera moc około,D,1875 W,1
83,Gniazdo LGA znajdujące się na płycie głównej komputera stacjonarnego umożliwia zainstalowanie procesora,A,Intel Core i5,0
84,Aby serwer umożliwiał transmisję danych w pasmach częstotliwości 24 GHz oraz 5 GHz należy zainstalować w nim kartę sieciową pracującą w standardzie,D,802.11n,0
85,Do instalacji oraz deinstalacji oprogramowania w systemie Ubuntu służy menadżer,C,apt,0
86,Wydając w wierszu poleceń systemu Windows Server polecenie convert można przeprowadzić,B,zmianę systemu plików.,0
87,Aby zaktualizować zmiany w konfiguracji systemu operacyjnego Windows wykonane za pomocą edytora zasad grup można posłużyć się poleceniem,D,gpupdate,0
88,Przedstawiona na rysunku topologia sieci to,D,mesh,1
89,Łącze światłowodowe wykorzystywane do transmisji danych w standardzie 10GBASE-SR może mieć długość wynoszącą maksymalnie,D,400 m,0
90,Który protokół jest wykorzystywany do transmisji danych w warstwie transportowej modelu ISO/OSI?,B,TCP,0
91,Pomiar tłumienia w kablowym torze transmisyjnym pozwala określić,D,spadek mocy sygnału w danej parze przewodu.,0
92,Odpowiednikiem adresu pętli zwrotnej jest w IPv6 adres,C,::1/128,0
93,Który zapis adresu IPv4 wraz z maską jest błędny?,D,192.168.0.1 maska 255.250.255.0,0
94,Dana jest sieć o adresie 172.16.0.0/16. Które z adresów sieci 172.16.0.0/16 są prawidłowe jeśli zostaną wydzielone cztery podsieci o masce 18 bitowej?,A,172.16.0.0 172.16.64.0 172.16.128.0 172.16.192.0,0
95,Administrator sieci LAN zauważył przejście w tryb awaryjny urządzenia typu UPS. Świadczy to o awarii systemu,A,zasilania.,0
96,Szerokopasmowy dostęp do Internetu przy różnej prędkości pobierania i wysyłania danych zapewnia technologia,D,ADSL,0
97,Wewnętrzny protokół trasowania którego metryką jest wektor odległości to,A,RIP,0
98,Jaką nazwę nosi indentyfikator który musi być identyczny by urządzenia sieciowe mogły pracować w danej sieci bezprzewodowej?,C,SSID,0
99,Materiałem eksploatacyjnym plotera solwentowego jest,D,farba na bazie rozpuszczalników.,0
100,Za pomocą polecenia ipconfig /flushdns można wykonać konserwację urządzenia sieciowego polegającą na,D,wyczyszczeniu bufora systemu nazw domenowych.,0
101,Który protokół jest wykorzystywany przez polecenie ping?,D,ICMP,0
102,Programem nasłuchowym służącym do przechwytywania i nagrywania różnych pakietów sieciowych oraz ich dekodowania jest,D,whireshark.,0
103,Przedstawiony listing zawiera polecenia umożliwiające,C,konfigurację wirtualnej sieci lokalnej o nazwie vlan 10 w przełączniku.,1
104,Przedstawiony fragment konfiguracji zapory sieciowej zezwala na ruch sieciowy z wykorzystaniem protokołów,D,HTTPS IMAP,1
105,Przedstawione na rysunku narzędzie służy do testowania,D,okablowania LAN.,1
106,Kopię danych w systemie Linux można wykonać za pomocą polecenia,A,dd,0
107,W systemie Linux odpowiednikiem programu Windows o nazwie chkdsk jest program,A,fsck,0
108,Za pomocą polecenia dxdiag wywołanego z wiersza poleceń systemu Windows można,A,sprawdzić parametry karty graficznej.,0
109,Które narzędzie jest stosowane do weryfikacji sterowników w systemie Windows?,C,verifier,0
110,Wskaż efekt działania przedstawionego polecenia.,B,Ustawiona data wygaśnięcia konta Test.,1
111,Użytkownik systemu operacyjnego Linux chce przypisać adres IP 152.168.1.200 255.255.0.0 interfejsowi sieciowemu. Które polecenie powinien wydać mając uprawnienia root?,A,ip addr add 152.168.1.200/16 dev eth1,0
112,W wyniku użycia polecenia route ustawiono,B,adres docelowej sieci na 192.168.35.0,1
113,Sprawdzenie minimalnego okresu ważności hasła w systemie Windows umożliwia polecenie,D,net accounts,0
114,W systemie Linux polecenie chmod umożliwia,C,ustawienie praw dostępu do pliku.,0
115,Aby uzupełnić prawidłową składnię prezentowanego polecenia które udostępnia folder Dane pod nazwą test w miejscu kropek należy wpisać słowo,C,share,1
116,Które ze zdań jest prawdziwe dla przedstawionej konfiguracji usługi DHCP w systemie Linux?,D,Komputery pracujące w sieci otrzymają adres IP z zakresu 176.16.20.50 ÷ 176.16.20.250,1
117,Dla danego użytkownika w systemie Linux polecenie usermod -s pozwala na,D,zmianę jego powłoki systemowej.,0
118,Który protokół nie funkcjonuje w warstwie aplikacji modelu ISO/OSI?,A,IP,0
119,Protokół umożliwiający hostom uzyskanie od serwera danych konfiguracyjnych np. adresu IP bramy sieciowej to,C,DHCP,0
120,W układzie SI jednostką miary napięcia jest,C,wolt.,0
121,Wskaż rysunek przedstawiający kondensator stały,D,D,1
122,Na rysunku został przedstawiony schemat budowy logicznej,A,procesora.,1
123,Oznaczenie przedstawionego procesora informuje o,C,braku blokady mnożnika (unlocked).,1
124,Wskaż podzespół niekompatybilny z płytą główną o przedstawionych w tabeli parametrach.,C,Procesor: INTEL CORE i3-4350 3.60 GHz x2/4 4 MB 54W HD 4600 BOX s-1150,1
125,W zestawie komputerowym o parametrach przedstawionych w tabeli należy wymienić kartę graficzną na kartę GeForce GTX 1070 Ti Titanium 8G DDR5 PCI EX-x16 3.0 256b 1683 MHz/1607 MHz Power consumption 180W 3x DP 2x HDMI recommended power supply 500W DirectX 12 OpenGL 4.5 W związku z tym modernizacja tego komputera wymaga również wymiany,D,zasilacza.,1
126,Do aktualizacji systemów Linux można wykorzystać programy,C,apt-get i zypper,0
127,Autor zamieszczonego oprogramowania zezwala na jego bezpłatne używanie jedynie w przypadku,C,wysłania tradycyjnej kartki pocztowej do autora.,1
128,Który ze standardów Gigabit Ethernet umożliwia budowę segmentów sieci o długości 550 m/5000 m z prędkością transmisji 1 Gb/s?,C,1000Base-LX,0
129,W dwóch przyległych pomieszczeniach pewnej firmy występują bardzo silne zakłócenia elektromagnetyczne. Aby zapewnić możliwie największą przepustowość podczas pracy istniejącej sieci LAN jako medium transmisyjne należy zastosować,B,kabel światłowodowy.,0
130,Narzędziem służącym do połączenia pigtaila z włóknami kabla światłowodowego jest,C,spawarka światłowodowa spajająca włókna za pomocą łuku elektrycznego.,0
131,Aby zabezpieczyć sieć bezprzewodową przed nieautoryzowanym dostępem należy między innymi,B,włączyć filtrowanie adresów MAC.,0
132,Wskaż adres sieci do której należy host o adresie 172.16.0.123/27,B,172.16.0.96,0
133,Ile bitów należy wyodrębnić z części hosta aby z sieci o adresie IPv4 170.16.0.0/16 wydzielić 24 podsieci?,C,5 bitów,0
134,Programem służącym do wyświetlenia listy aktywnych urządzeń pracujących w sieci LAN jest,A,Advanced IP Scaner,0
135,Wskaż technologię wykorzystywaną do udostępniania Internetu wraz z usługą telewizji kablowej w której jako medium transmisyjne jest wykorzystywany światłowód oraz kabel koncentryczny.,B,HFC,0
136,Aby w systemie Windows zmienić port zainstalowanej drukarki należy wykorzystać funkcję,B,Właściwości drukarki.,0
137,W sieci LAN do zabezpieczenia urządzeń sieciowych przed przepięciami oraz różnicami potencjałów które mogą wystąpić podczas burzy lub innych wyładowań atmosferycznych należy wykorzystać,D,urządzenie typu NetProtector.,0
138,Do sprawdzenia indeksu stabilności systemu Windows Server należy wykorzystać narzędzie,A,Monitor niezawodności.,0
139,Wskaż nazwę usługi przełącznika która umożliwi ustawienie wyższego priorytetu dla transmisji VoIP.,C,QoS,0
140,Na podstawie zrzutu ekranu przedstawiającego konfigurację przełącznika można stwierdzić że,A,czas między wysyłaniem kolejnych komunikatów o poprawnej pracy urządzenia wynosi 3 sekundy.,1
141,Połączenie VPN obsługiwane przez system Windows Server w którym uwierzytelnienie użytkowników następuje przez niezabezpieczone połączenia a dopiero po wymianie uwierzytelnień rozpoczyna się szyfrowanie połączenia to,B,PPTP,0
142,Do sprawdzenia prawidłowych przebiegów i wartości napięć układu urządzenia elektronicznego można użyć,C,oscyloskopu cyfrowego.,0
143,Użycie polecenia tar –xf dane.tar w systemie Linux spowoduje,C,wyodrębnienie danych z archiwum o nazwie dane.tar,0
144,Komunikat tekstowy BIOS POST firmy Award o treści „Display switch is set incorrectly” wskazuje na,D,nieprawidłowy tryb wyświetlania obrazu.,0
145,Do wykonania monitoringu stanu dysków twardych w serwerach komputerach stacjonarnych i laptopach można wykorzystać program,C,Acronis Drive Monitor,0
146,Aby w systemie Windows wykonać śledzenie trasy pakietów do serwera strony internetowej należy wykorzystać polecenie,B,tracert,0
147,Serwisant dojechał do klienta oddalonego od siedziby firmy o 11 km oraz wykonał u niego czynności naprawcze zawarte w tabeli. Wskaż całkowity koszt brutto jego pracy jeśli dojazd do klienta kosztuje 120 zł/km brutto i jest on liczony w obie strony. Stawka podatku VAT na usługi wynosi 23%.,D,19860 zł,1
148,Aby ikony widoczne na przedstawionym obrazie pojawiły się na Pasku zadań należy w systemie Windows skonfigurować,C,obszar powiadomień.,1
149,Po analizie zamieszczonych wyników konfiguracji kart sieciowych zainstalowanych na komputerze można stwierdzić że,B,wszystkie karty mogą uzyskać adres IP automatycznie.,1
150,W systemie Windows przeprowadzenie analizy wpływu uruchamianych programów na wydajność komputera jest między innymi możliwe po użyciu polecenia,C,perfmon.msc,0
151,W systemie Linux polecenie cd ~ służy do,D,przejścia do katalogu domowego użytkownika.,0
152,W systemie Windows Server udostępnienie folderu jako zasobu sieciowego widocznego na stacji roboczej w postaci dysku oznaczonego literą jest możliwe dzięki wykonaniu operacji,B,mapowania.,0
153,Serwer Samba umożliwia współdzielenie plików i drukarek w sieci za pomocą demona,C,smbd,0
154,Który z rekordów DNS należy dodać w strefie wyszukiwania do przodu aby zmapować nazwę domeny DNS na adres IP?,B,A lub AAAA,0
155,Polecenie net accounts zastosowane w Wierszu poleceń systemu Windows powodujące ustawienie maksymalnej liczby dni ważności hasła wymaga użycia opcji,C,/MAXPWAGE,0
156,W systemie Windows Server narzędziem umożliwiającym zarządzanie zasadami grupy jest,C,Konsola GPMC.,0
157,Narzędziem umożliwiającym zdalną kontrolę użytkownika sieci lokalnej poprzez śledzenie jego działań lub przejęcie całkowitej kontroli nad zdalną maszyną jest program,A,RealVNC,0
158,Na komputerze z zainstalowanymi dwoma systemami – Windows i Linux po wykonaniu reinstalacji systemu Windows nie uruchamia się drugi system. Aby przywrócić możliwość uruchamiania się systemu Linux oraz aby nie stracić danych i ustawień w nim zapisanych należy,B,ponownie zainstalować bootloadera GRUB.,0
159,Zamieszczony komunikat widoczny po uruchomieniu narzędzia do naprawy systemu Windows może świadczyć o,C,uszkodzeniu plików startowych systemu.,1
160,Symbolem literowym P oznacza się,A,moc.,0
161,Wskaż poprawny zapis liczby -1210 metodą znak-moduł do postaci ośmiobitowej liczby dwójkowej.,A,10001100zm,0
162,Elementem elektronicznym zdolnym do gromadzenia ładunku elektrycznego jest,D,kondensator.,0
163,Elementem odpowiedzialnym za wymianę danych między procesorem a magistralą PCI-E jest,A,chipset.,0
164,Przedstawiony symbol stosowany w dokumentacji technicznej oznacza,A,wymóg selektywnej zbiórki sprzętu elektronicznego.,1
165,Moc zasilacza wynosi 450 W czyli,B,045 kW,0
166,Aby złożyć komputer z podzespołów wykorzystując obudowę SFF należy wybrać płytę główną w standardzie,D,mini ITX,0
167,Aby zwiększyć wydajność procesora rodziny Intel poprzez jego „podkręcenie” (ang. overclocking) można zastosować procesor oznaczony,B,literą K,0
168,Do usuwania plików lub katalogów w systemie Linux służy polecenie,C,rm,0
169,Aktualizację do wyższej wersji systemu Ubuntu Linux umożliwia polecenie,D,sudo apt-get dist-upgrade,0
170,Aby włączyć lub wyłączyć usługi w zainstalowanym systemie operacyjnym Windows można posłużyć się przystawką,D,services.msc,0
171,Na którym rysunku przedstawiono topologię sieci typu magistrala?,B,B,1
172,Technika przekazywania żetonu (ang. token) jest stosowana w topologii,D,pierścienia.,0
173,Które z protokołów przekazują okresowe kopie tablic rutingu do sąsiedniego rutera i nie mają pełnej informacji o odległych ruterach?,D,EIGPR OSPF,0
174,Ile domen kolizyjnych i rozgłoszeniowych jest widocznych na schemacie?,B,9 domen kolizyjnych i 4 domeny rozgłoszeniowe.,1
175,Zasady budowy systemu okablowania strukturalnego specyfikacja parametrów kabli oraz procedury testowania obowiązujące w Polsce zostały zawarte w normach,C,PN-EN 50173,0
176,Która pula adresów umożliwia komunikację typu multicast w sieci wykorzystującej adresację IPv6?,B,ff00::/8,0
177,Dana jest sieć o adresie 192.168.100.0/24. Ile podsieci można z niej wydzielić stosując maskę 255.255.255.224?,C,8 podsieci.,0
178,Przedstawione na rysunku narzędzie służy do testowania,D,okablowania LAN.,1
179,Która technologia umożliwia dostęp do Internetu oraz odbiór cyfrowych kanałów telewizyjnych?,D,ADSL2+,0
180,Wewnętrzny protokół trasowania oparty na analizie stanu łącza to,D,OSPF,0
181,Aby w sieci komputerowej była możliwa praca w wydzielonych logicznie mniejszych podsieciach należy skonfigurować w przełączniku,B,VLAN,0
182,Który materiał eksploatacyjny nie jest wykorzystywany w ploterach?,C,Filament.,0
183,Aby w systemie Windows wyczyścić bufor nazw domenowych należy zastosować polecenie,C,ipconfig /flushdns,0
184,Poleceniem służącym do wyświetlania i modyfikacji tabel translacji adresów IP na adresy fizyczne jest,D,ARP,0
185,Który program nie umożliwia testowania sieci komputerowej w celu identyfikacji usterek?,C,getfacl,0
186,Przedstawione na rysunku urządzenie wraz ze specyfikacją techniczną można wykorzystać do pomiarów okablowania,D,światłowodowego.,1
187,Wskaż efekt działania przedstawionego polecenia.,D,Blokowanie działania usługi DNS opartej na w protokole TCP.,1
188,Które z poleceń systemu Linux nie umożliwia przeprowadzenia diagnostyki sprzętu komputerowego?,A,ls,0
189,W systemie Windows parametry karty graficznej można sprawdzić za pomocą polecenia,B,dxdiag,0
190,Które narzędzie w systemie Linux wyświetla zapisane w BIOS informacje o sprzęcie?,D,dmidecode,0
191,Istniejące konto użytkownika jest modyfikowane poleceniem net user. Aby wymusić zmianę hasła po ponownym zalogowaniu użytkownika należy dodać do polecenia parametr,D,logonpasswordchg,0
192,Przedstawione polecenie zostało wydane przez Administratora systemu operacyjnego podczas ręcznej konfiguracji interfejsu sieciowego. Efektem działania tego polecenia jest,B,ustawienie adresu 151.10.0.1 jako bramy domyślnej.,1
193,Aby ustawić routing statyczny do sieci 192.168.10.0 należy wydać polecenie,A,route ADD 192.168.10.0 MASK 255.255.255.0 192.168.10.1 5,0
194,Aktualizację systemu Windows umożliwia polecenie,A,wuauclt,0
195,W systemie Linux polecenie tty umożliwia,A,wyświetlenie nazwy terminala.,0
196,Aby w systemie Linux zmapować katalog udostępniony w sieci komputerowej należy posłużyć się poleceniem,C,mount,0
197,W systemie Linux aby zmienić nowo tworzonym użytkownikom domyślny katalog domowy na katalog / users / home / new należy użyć polecenia,A,useradd -D -b / users / home / new,0
198,Protokołem funkcjonującym w warstwie aplikacji modelu TCP/IP jest,A,FTP,0
199,Działający w systemie Linux program iftop służy do,A,monitorowania połączeń sieciowych.,0
200,Wskaż rysunek przedstawiający symbol bramki logicznej NOT.,C,C,1
201,Obraz przedstawia oznaczenie sygnalizacji świetlnej w dokumentacji technicznej laptopa. Wskaż numer oznaczający kontrolkę zapalającą się podczas ładowania baterii.,C,4,1
202,Wskaż poprawną kolejność czynności prowadzących do zamontowania procesora w gnieździe LGA na nowej płycie głównej odłączonej od źródła zasilania.,D,5 1 7 3 6 2 4,1
203,W trybie graficznym systemów Ubuntu lub SuSE Linux do zainstalowania aktualizacji oprogramowania systemu można użyć programów,C,Synaptic lub YaST,0
204,Do wykonania nienadzorowanej instalacji w systemie Windows należy przygotować plik odpowiedzi o nazwie,B,unattend.txt,0
205,Po zainstalowaniu systemu Linux użytkownik chce przeprowadzić konfigurację karty sieciowej poprzez wpisanie ustawień konfiguracyjnych sieci. Jest to możliwe przez edycję pliku,C,/ etc /network / interfaces,0
206,Licencja programu komputerowego rozpowszechnianego za darmo z ograniczoną przez producenta funkcjonalnością w stosunku do pełnej płatnej wersji gdzie po okresie 30 dni pojawiają się reklamy oraz przypomnienia o konieczności zarejestrowania się nosi nazwę,C,liteware,0
207,Cechy której topologii fizycznej sieci zostały opisane w ramce?,B,Magistrali.,1
208,Widoczny na schemacie symbol okablowania oznacza kabel,D,ethernetowy krosowany.,1
209,Zastosowanie skrętki kategorii 6 (CAT 6) o długości 20 metrów w sieci LAN wskazuje na jej maksymalną przepustowość równą,A,10 Gb/s,0
